"BP1_25","descrip"
"1","Se otorgó el perdón"
"2","Está en trámite (sigue abierta, continúa la investigación)"
"3","Recuperó sus bienes"
"4","Hubo reparación del daño"
"5","Se puso al (a la) delincuente a disposición de un Juez"
"6","Nada"
"7","Otra"
"9","No sabe / no responde"
"b","blanco"
